Phrase,target
hardware,True
complex problems,True
hand,False
guests,True
groups,False
group behavior,True
grievances,True
computer hardware,True
government regulations,True
government,True
computer programs,True
geometry,True
computer systems,True
general physical activities,False
gauges,True
full attention,False
formulas,True
forms,True
formal educational or training programs,True
forklifts,True
food products,True
"fluid , material , and atmospheric dynamics",True
finger,False
financial data,True
files,True
houses,True
human culture,False
facts,False
human injuries,True
leadership technique,True
co,False
"land , sea , and air masses",True
labor relations,True
jumping,False
its parts,False
color,False
interrelationships,True
interests,False
interdependencies,True
colors,False
instruction,True
institutions,False
inspections,True
information files,True
communication,True
influences,False
individuals,False
individual judgment,True
individual differences,False
compensation,True
inappropriate times,False
improvements,True
importance,False
complaints,True
human resources modeling,True
human migrations,True
"fast , simple , repeated movements",True
facilities,True
coworkers,True
disposal methods,True
consumption,False
direct physical activity,True
different ways,False
different sets,False
different philosophical systems,False
dials,True
diagnosis,True
control,False
cooperation,True
detailed instructions,True
design techniques,True
deformities,True
defects,True
decision - making,True
day,False
date,False
coordination,True
danger signs,True
dance,False
corrective action,True
customer satisfaction,True
customer needs assessment,True
customer and personal services,True
curriculum and training design,True
correctness,False
creativity,True
creative ways,True
diseases,True
disputes,True
expert advice,True
dissemination techniques,True
executive orders,True
example,False
exact positions,True
conditions,True
evaluation,True
ethnicity,False
ethics,False
errors,False
conflicts,True
engineering science,True
employees,False
emotional support,True
electronic equipment,True
electrical or electronic ( not mechanical ) principles,True
either control mechanisms,True
effects,False
economic and accounting principles,True
"e.g. , patterns",False
e-mail,True
e,False
dynamics,False
drug properties,True
considerable use,True
drama,False
documentation,True
constructive and cooperative working relationships,True
distances,True
learning,False
legal codes,True
close range,True
performance standards,True
buildings,True
patterns,False
pattern,False
patients,True
passenger vehicles,True
parts,False
part,False
paragraphs,False
paperwork,True
outcomes,True
others ' reactions,True
others ' actions,False
business and management principles,True
other techniques,False
other structures,False
other sources,False
other problems,False
other personal care,True
other people,False
other objects,False
other individuals,True
other indicators,True
other groups,False
other external sources,True
other distracting sounds,True
calculus,True
other body part,False
broadcasting,False
brightness,False
letters,False
personal assistance,True
behavioral and affective disorders,True
product requirements,True
product demonstration,True
processors,True
blueprints,True
both current and future problem - solving,True
both plant,False
breath,False
preventive health - care measures,True
prediction,True
precision technical plans,True
precisely coordinated movements,True
precedents,True
practices,False
potential actions,True
policies,True
plant and animal organisms,True
"plant , animal , and human life",True
plans,False
pitch,True
pieces,False
bright lighting,False
physical principles,True
physical and mental dysfunctions,True
personnel recruitment,True
personnel information systems,True
personality,False
origins,False
organizations,True
options,True
career counseling,True
models,True
circuit boards,True
merchandise / goods,True
members,False
medical attention,True
media production,True
mechanized equipment,True
"mechanical , electrical , atomic and sub - atomic structures",True
mechanical ( not electronic ) principles,True
measures,True
meaningful patterns,True
maximum muscle force,True
mathematics,True
mathematical operations,True
circumstances,False
marketing strategy,True
management,True
civilizations,False
classes,False
clients,True
low - light conditions,True
loudness,True
long periods,False
long - range objectives,True
logic,True
locations,False
"lights , sounds , pictures",True
chips,True
chemicals,True
motivation,True
cells,True
operation,False
operating errors,True
oneself,False
one position,False
one or both hands,False
one leg,False
one arm,False
one 's side,False
one 's own time,True
causes,False
object,True
"numbers , letters , words , pictures",True
new things,False
movement,False
new knowledge,True
new information,True
new applications,True
negotiation,True
needs,True
national security operations,True
mutual trust,True
music,False
muscular endurance,True
certain work,False
muscle fatigue,True
moving parts,False
other distracting material,False
